server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1369.9774990081787,1379.3016510009766,1357.8171679973602,1373.2782130241394,1357.7026665210724;1366.8925473690033,1376.287742137909,1357.5761046409607;1369.8020431995392,1379.2962350845337,1357.7605502605438;1369.924412727356,1379.3009097576141,1357.6016232967377;1366.8497846126556,1379.2912402153015
1397.936049938202,1404.1833455562592,1388.7748806476593,1404.1803493499756,1388.703394651413;1397.8655178546906,1404.1352558135986,1388.6186044216156;1397.8449177742004,1404.1827864646912,1388.7234828472137;1397.8804564476013,1404.1794955730438,1385.6173329353333;1394.8063423633575,1404.176245212555
1422.8909449577332,1432.172738313675,1416.4733340740204,1432.1616995334625,1413.642082452774;1422.8378863334656,1429.1334681510925,1413.475436925888;1422.6677162647247,1432.1721348762512,1413.5897030830383;1422.8160808086395,1429.155136346817,1413.5655672550201;1419.717634677887,1432.166740179062
1450.8204553127289,1457.0969643592834,1441.5894784927368;1450.7682721614838,1457.0951969623566,1441.640464067459;1447.7955372333527,1457.095962524414,1441.533189535141;1450.7332165241241,1457.0930242538452,1441.6952004432678,1457.0967874526978,1441.481484413147;1450.6210534572601,1457.0942618846893
1475.8229353427887,1482.100968837738,1469.4743552207947,1482.0909810066223,1466.5227785110474;1475.7494399547577,1482.0959622859955,1466.582855939865;1475.761209487915,1482.1003499031067,1466.4661831855774;1475.6845586299896,1482.0193197727203,1463.4608182907104;1472.603507757187,1482.0857627391815
1503.711089372635,1510.0305919647217,1491.3959431648254;1500.586172580719,1510.030143737793,1491.6221916675568,1510.0266299247742,1491.4184746742249;1503.6602931022644,1510.0157823562622,1491.565996170044;1500.7127969264984,1510.0201280117035,1491.5112767219543;1497.684608221054,1510.0167746543884
1528.6994659900665,1537.9523227214813,1519.4057788848877;1528.6097824573517,1531.9496302604675,1519.4843385219574;1528.6391077041626,1534.9186387062073,1516.3574242591858;1525.574896812439,1534.9090127944946,1519.5364575386047,1537.951155424118,1519.3789594173431;1525.5795059204102,1537.9521689414978
1556.6304738521576,1562.9204699993134,1547.4104635715485;1556.578263759613,1562.8635535240173,1547.2282810211182;1556.442893743515,1562.9181191921234,1547.34712266922;1556.5607538223267,1562.8994145393372,1550.2797439098358,1562.9202980995178,1547.3186612129211;1556.5053071975708,1562.9131314754486
1581.5512299537659,1590.8166644573212,1572.2228453159332;1581.4258086681366,1590.816013097763,1572.3437752723694;1581.4999418258667,1587.8089635372162,1572.3943228721619,1587.8062856197357,1572.1350889205933;1581.362032175064,1587.8078598976135,1572.318947315216;1581.4843995571136,1587.8071126937866
1609.759882926941,1616.0598783493042,1600.2306535243988;1609.4112355709076,1616.0548214912415,1600.38440990448,1613.0417296886444,1600.2745413780212;1609.4548609256744,1616.0309166908264,1600.3298773765564;1609.7012083530426,1616.0487670898438,1597.195861339569;1606.3413603305817,1616.0592217445374
1634.7885127067566,1641.0873494148254,1625.4691896438599;1634.733390569687,1641.0606679916382,1625.4932634830475;1634.7372376918793,1641.082680463791,1625.5525360107422,1641.0845911502838,1625.3790826797485;1631.6314716339111,1641.0719141960144,1622.3833453655243;1631.574833869934,1641.0778958797455
